team_name,game_num,date,site,game_type,opp_name,w_l,pts,opp_pts,fg,fga,fg_per,3p,3pa,3p_per,ft,fta,ft_per,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg_per,opp_3p,opp_3pa,opp_3p_per,opp_ft,opp_fta,opp_ft_per,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf
Virginia Cavaliers,15,1/10/15,Away,R,Notre Dame,1,62,56,25,51,0.49,5,11,0.455,7,8,0.875,8,33,9,2,3,8,12,20,59,0.339,10,24,0.417,6,12,0.5,13,30,10,4,1,6,14
Virginia Cavaliers,17,1/14/18,Home,R,NC State,1,68,51,23,41,0.561,8,14,0.571,14,16,0.875,5,26,16,8,2,14,10,23,56,0.411,2,16,0.125,3,5,0.6,13,25,7,8,1,14,18
Virginia Cavaliers,5,11/21/11,Neutral,R,Drake,1,60,52,20,38,0.526,0,5,0,20,23,0.87,4,22,8,10,1,16,21,16,41,0.39,2,10,0.2,18,23,0.783,5,20,6,9,1,15,20
Virginia Cavaliers,24,2/12/13,Home,R,Virginia Tech,1,73,55,22,50,0.44,9,19,0.474,20,23,0.87,5,31,14,2,3,5,13,18,52,0.346,8,25,0.32,11,19,0.579,10,32,7,3,2,8,15
Virginia Cavaliers,26,2/18/12,Home,R,Maryland,1,71,44,26,54,0.481,6,10,0.6,13,15,0.867,5,33,9,7,3,7,14,14,52,0.269,7,19,0.368,9,16,0.563,10,32,3,4,0,15,17
Virginia Cavaliers,10,12/19/15,Home,R,Villanova,1,86,75,26,46,0.565,8,12,0.667,26,30,0.867,10,28,12,4,2,12,19,26,53,0.491,10,26,0.385,13,17,0.765,10,19,17,6,1,10,24
Virginia Cavaliers,17,1/17/16,Away,R,Florida State,0,62,69,22,56,0.393,5,12,0.417,13,15,0.867,6,23,14,4,1,9,21,21,43,0.488,6,13,0.462,21,26,0.808,3,28,8,5,3,15,17
Virginia Cavaliers,29,3/1/16,Away,R,Clemson,1,64,57,21,52,0.404,9,19,0.474,13,15,0.867,9,33,12,7,1,8,15,20,46,0.435,6,17,0.353,11,16,0.688,5,24,12,6,5,12,13
Virginia Cavaliers,6,11/24/17,Neutral,R,Rhode Island,1,70,55,23,46,0.5,5,12,0.417,19,22,0.864,4,31,9,5,2,11,15,22,50,0.44,4,10,0.4,7,14,0.5,3,21,11,6,4,9,20
Virginia Cavaliers,16,1/9/18,Home,R,Syracuse,1,68,61,20,53,0.377,9,27,0.333,19,22,0.864,10,28,15,7,5,7,13,23,60,0.383,6,21,0.286,9,11,0.818,17,37,3,6,5,11,17
Virginia Cavaliers,4,11/19/11,Neutral,R,Drexel,1,49,35,14,39,0.359,3,12,0.25,18,21,0.857,4,26,9,5,4,8,16,14,54,0.259,3,21,0.143,4,6,0.667,12,34,6,4,2,13,20
Virginia Cavaliers,27,2/24/13,Home,R,Georgia Tech,1,82,54,32,59,0.542,6,19,0.316,12,14,0.857,9,27,15,5,3,5,8,22,50,0.44,6,17,0.353,4,8,0.5,9,24,8,3,1,16,16
Virginia Cavaliers,33,3/15/14,Neutral,A,Pitt,1,51,48,21,45,0.467,3,12,0.25,6,7,0.857,4,25,9,3,5,11,13,18,49,0.367,3,14,0.214,9,14,0.643,8,28,9,6,2,8,14
Virginia Cavaliers,17,1/17/15,Away,R,Boston College,1,66,51,21,49,0.429,6,18,0.333,18,21,0.857,12,33,12,2,3,8,18,17,43,0.395,5,15,0.333,12,13,0.923,3,18,8,2,0,9,16
Virginia Cavaliers,28,2/27/16,Home,R,UNC,1,79,74,27,61,0.443,7,16,0.438,18,21,0.857,8,27,14,6,5,8,14,29,59,0.492,9,19,0.474,7,13,0.538,12,33,17,7,3,13,21
Virginia Cavaliers,19,1/24/17,Away,R,Notre Dame,1,71,54,25,54,0.463,9,19,0.474,12,14,0.857,8,35,13,7,1,11,17,20,48,0.417,3,18,0.167,11,17,0.647,1,17,9,6,6,10,10
Virginia Cavaliers,34,3/18/17,Neutral,N,Florida,0,39,65,16,54,0.296,1,15,0.067,6,7,0.857,8,28,8,4,3,11,17,23,50,0.46,8,21,0.381,11,18,0.611,5,32,10,6,1,9,10
Virginia Cavaliers,31,3/8/18,Neutral,A,Louisville,1,75,58,31,59,0.525,7,18,0.389,6,7,0.857,7,29,13,5,2,7,13,18,49,0.367,9,21,0.429,13,14,0.929,6,22,11,5,2,8,13
Virginia Cavaliers,29,3/1/11,Home,R,NC State,1,69,58,21,53,0.396,10,21,0.476,17,20,0.85,8,29,12,5,7,9,13,20,49,0.408,6,16,0.375,12,16,0.75,9,33,10,5,7,15,16
Virginia Cavaliers,24,2/9/16,Home,R,Virginia Tech,1,67,49,24,49,0.49,2,10,0.2,17,20,0.85,6,26,18,4,8,10,15,16,45,0.356,4,14,0.286,13,17,0.765,3,22,7,6,0,14,18
Virginia Cavaliers,10,12/18/11,Away,R,Oregon,1,67,54,25,55,0.455,6,15,0.4,11,13,0.846,9,38,12,2,0,8,19,23,54,0.426,3,15,0.2,5,14,0.357,6,25,11,4,0,6,14
